ticker,date,text,sentiment_score
N225,"Wed, 09 Jul 2025 21:38:42 GMT",Nvidia's stock market value hits $4 trillion on AI dominance - Reuters,0.0
N225,"Wed, 09 Jul 2025 18:39:05 GMT","Nvidia, AES, Verona Pharma, WPP, Bloom Energy, Aehr, and More Stock Market Movers - Barron's",0.5
N225,"Wed, 09 Jul 2025 22:33:07 GMT","Stock market today: Dow, S&P 500, Nasdaq jump as Nvidia's surge to milestone boosts tech - Yahoo Finance",0.0
N225,"Thu, 10 Jul 2025 00:05:00 GMT",Stock Market Today: Dow Edges Higher; Trump Threatens More Tariffs — Live Updates - WSJ,0.2954545454545454
N225,"Wed, 09 Jul 2025 19:30:36 GMT","Stock market today: Dow, S&P 500, Nasdaq edge higher as Nvidia's market cap hits $4T, Trump unveils more tariff letters - Yahoo Finance",0.375
N225,"Thu, 10 Jul 2025 00:08:00 GMT",Stock futures are little changed after S&P 500 posts first winning session in three: Live updates - CNBC,0.1747159090909091
N225,"Wed, 09 Jul 2025 12:05:00 GMT",This early-warning indicator is telling the stock market that a recession is more likely - MarketWatch,0.25
N225,"Tue, 08 Jul 2025 17:55:53 GMT",The Hong Kong stock market’s tentative revival - Financial Times,0.0
N225,"Wed, 09 Jul 2025 04:00:00 GMT","Looser bonus rules and tax breaks needed to save London stock market, says CBI - The Guardian",0.0
N225,"Mon, 07 Jul 2025 15:33:45 GMT","Q3 2025 Stock Market Outlook: After the Rally, What’s Still Undervalued? - Morningstar",0.0
